id,section_main,section_sub,title_raw,title_kor,key_symptoms,formula,tag
181,양명병,단일,問曰 何緣得陽明病 答曰 太陽病 若發汗 若下 若利小便 此亡津液 胃中乾燥 因轉屬陽明,묻기를 어찌하여 양명병을 얻습니까? 답하기를 태양병에 땀을 내거나 설사시키거나 소변을 통하게 하여 진액이 망실되고 위중이 건조해져서 양명으로 전속된 것이다.,진액망실,위중건조,,양명병성인
182,양명병,단일,問曰 陽明病 何能食 不能食 答曰 陽明病 屬中寒者 爲能食 屬中熱者 爲不能食,묻기를 양명병에 어떤 자는 먹고 어떤 자는 못 먹습니까? 답하기를 양명병 중 한기에 적중된 자는 먹을 수 있고 열기에 적중된 자는 먹지 못한다.,능식(중한),불능식(중열),,양명한열감별
183,양명병,단일,太陽病 若下之 陽氣微 膈內虛 胃中冷 則能食 爲噯,태양병을 설사시킨 뒤 양기가 미약하고 가슴 속이 허하며 위중이 차가우면 먹을 수는 있으나 트림을 하게 된다.,능식,애(트림),,위한애기
184,양명병,단일,陽明病 若能食 名中風 不能食 名中寒,양명병에 음식을 먹을 수 있으면 중풍이라 하고 음식을 먹지 못하면 중한이라 한다.,능식(중풍),불능식(중한),,양명풍한감별
185,양명병,단일,陽明病 脈遲 雖汗出 不惡寒者 其身必重 短氣 腹滿而喘 有潮熱者 此外欲解 可攻裏也 宜大承氣湯,양명병에 맥이 지하고 땀이 나면서 오한이 없는 자는 반드시 몸이 무겁고 숨이 차며 배가 그득하다. 대승기탕이 적당하다.,맥지,불악한,신중,단기,복만천,대승기탕,양명실증
186,양명병,단일,傷寒三日 陽明脈大,상한 3일에 양명맥은 커진다.,맥대,,,양명맥상
187,양명병,단일,傷寒脈浮而緩 手足自溫者 是爲系在太陰 太陰者 身當發黃 若小便自利者 不能發黃 至七八日 大便硬者 爲陽明病也,상한 맥이 부하면서 완하고 손발이 스스로 따뜻한 것은 태음에 연계된 것인데 7~8일에 대변이 굳어지면 양명병이 된 것이다.,맥부완,수족온,대변경,,태음전양명
188,양명병,단일,傷寒轉屬陽明 其人濈然微汗出也,상한이 양명으로 전속되면 그 사람에게 미미하게 땀이 축축하게 난다.,미한출,,,양명전속
189,양명병,단일,陽明病 外證備 但下之 久久 若大便溏 則失氣 此欲自利也,양명병 외증을 갖추어 설사시켰는데 오랫동안 대변이 묽고 방귀만 나오면 치료하기 어렵다.,대변당,실기,,양명난치
190,양명병,단일,陽明病 若中寒者 不能食 小便不利 手足濈然汗出 此欲作痼瘕 必大便初硬後溏,양명병 중한자는 먹지 못하고 소변이 안 나오며 손발에 땀이 축축하게 나니 이는 고가가 되려 함이며 대변이 처음엔 굳고 나중엔 묽다.,불능식,소변불리,초경후당,,양명중한
191,양명병,단일,陽明病 初欲食 小便反不利 大便自調 其人骨節疼 翕翕如有熱狀 奄然發狂 濈然汗出而解者 此水不勝穀氣 與汗共幷 脈緊則愈,양명병 초기에 음식을 먹으려 하는데 소변이 도리어 적으면 대변이 반드시 굳는다. 소변이 다시 나오면 대변은 스스로 통한다.,소변소,대변경,,소변대변관계
192,양명병,단일,陽明病 欲解時 從申至戌上,양명병이 풀리려 하는 시간은 신시(15시)부터 술시(21시)까지이다.,욕해시,신~술,,해어시
193,양명병,단일,陽明病 不能食 攻其熱必噦 所以然者 胃中虛冷故也 以其人本虛 攻其熱必噦,양명병에 먹지 못하는 자는 열을 공격하면 반드시 딸꾹질한다. 이는 위중이 허하고 차기 때문이다.,불능식,위중허한,공열즉얼,,위한금기
194,양명병,단일,陽明病 脈浮 發熱 口渴 惡寒 汗出者 桂枝湯主之,양명병에 맥이 부하고 열이 나며 갈증이 있고 오한이 있으며 땀이 나는 자는 계지탕으로 다스린다.,발열악한,표미해,계지탕,양명표증
195,양명병,단일,陽明病 脈遲 食難用飽 飽則微煩 頭眩 必小便難 此欲作穀疸 雖下之 腹滿如故 所以然者 脈遲故也,양명병 맥이 지하고 배불리 먹기 힘들며 배부르면 약간 번조하고 어지러우며 소변이 어려우면 곡달이 되려 함이다.,맥지,포즉미번,소변난,인진호탕,양명곡달
196,양명병,단일,陽明病 法多汗 若發汗 傳其亡津液 胃中乾 大便遂硬者 沈譫語 少與小承氣湯,양명병에 땀을 많이 내어 진액이 망실되고 위중이 말라 대변이 굳고 섬어하면 소승기탕을 조금 준다.,망진액,대변경,섬어,소승기탕,양명소실
